WomanID,Year,Age,Region,Origin,Relagion,NumKillers,Killer,Weapon,Known,IsWoman,Status,WhereBody,Background,BodyTime
175,12/11/2015,19,central,ILArab,unknown,1,unknown,pistol,unknown,unknown,uncaught,street,unknown,hours
176,05/11/2015,39,north,ILArab,unknown,1,husband,pistol,yes,no,suspect arrested,street,relatives fight ,hours
177,25/10/2015,35,central,nigger,unknown,1,husband,knife,yes,no,suspect arrested,home,relatives fight ,hours
178,26/09/2015,30,north,ILArab,unknown,1,devorce,unknown,yes,no,suspect arrested,street,relatives fight ,hours
179,28/09/2015,29,central,unknown,unknown,1,partner,byhands,no,no,suspect arrested,street,partnerconflict,hours
180,17/09/2015,31,central,russian,unknown,1,husband,knife,no,no,suspect arrested,home,relatives fight,hours
181,11/09/2015,30,central,russian,unknown,1,husband,knife,no,no,suspect arrested,home,relatives fight ,hours
182,22/07/2015,22,central,ILArab,unknown,1,father,byhands,no,no,suspect arrested,home,relatives fight ,hours
183,15/08/2015,22,south,ILArab,unknown,1,partner,unknown,no,no,suspect arrested,street,unknown,hours
184,23/06/2015,42,north,ILArab,unknown,1,son,pistol,no,no,suspect arrested,home,relatives fight,hours
185,16/06/2015,45,north,IL,jew,1,partner,knife,no,no,suspect arrested,home,partnerconflict,hours
186,01/06/2015,38,central,russian,unknown,1,devorce,knife,yes,no,suspect arrested,home,partnerconflict,hours
187,02/05/2015,50,north,ILArab,muslim,1,son,knife,no,no,suspect arrested,home,relatives fight ,hours
188,02/03/2015,30,north,ILArab,unknown,1,husband,burnalive,no,no,suspect arrested,street,relatives fight ,hours
